rest,type,address,address_info,number,site,info,img_url,Mon,Tue,Wen,Thu,Fri,Sat,Sun,lat,lng
올라,스페인음식,"경남 진주시 강남로227번길 13-1 1층, 2층",찾아가는길진주문화예술회관 뒷편과 천전초등학교 일방통행길 끝지점 있어요. 천전초등학교 후문 주차장 10대이상 주차가능합니다내용 더보기,0507-1350-6324,http://instagram.com/hola_jinju,"예약, 단체 이용 가능, 무선 인터넷, 포장, 배달, 주차",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA2MTBfMTky%2FMDAxNzE4MDMxMDM4NTI1.pdtEM1aOVJ27-mSnb-6dYJCzyt8mQg4qrmAKa0nfatEg.ilOtnKsWRcGzZ0APGeVYG9IfdYxlGNoHAFVJlkkx-P8g.JPEG%2FIMG_7539.JPG,"월12:00 - 23:00
14:00 - 17:00 브레이크타임","화12:00 - 23:00
14:00 - 17:00 브레이크타임","수12:00 - 23:00
14:00 - 17:00 브레이크타임","목12:00 - 23:00
14:00 - 17:00 브레이크타임","금12:00 - 23:00
14:00 - 17:00 브레이크타임","토12:00 - 23:00
14:00 - 17:00 브레이크타임",일정기휴무 (매주 일요일),35.1869297,128.0908262
카시강,인도음식,경남 진주시 강남로201번길 1 3층,"찾아가는길경남문화예술회관앞 주차장 맞은편, 강변큰빌딩(예강)에 들어오셔서 엘리베이터 타고 3층을 눌러주세요",0507-1321-8082,https://blog.naver.com/kashigang,"예약, 단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷, 대기공간, 주차",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA3MjRfNTkg%2FMDAxNzIxNzgzODY2MDMx.rILEvaVxqZMFBFFaOjHcGhk85PZkmrofOkYzIKuvyW8g._Ctkc9W4XO1eZFpHraICFtrzlVwqXhMKDsIgNOY0ZSwg.JPEG%2FIMG_2349.JPG,"월11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더","화11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더","수11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더","목11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더","금11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더","토11:00 - 21:00
15:00 - 17:00 브레이크타임
20:00 라스트오더","일12:00 - 16:00
15:00 라스트오더",35.1857394,128.0935828
저스트텐동 진주점,일식당,경남 진주시 동진로34번길 6-14 1층,찾아가는길진주 밥집 으로 유명한 저스트텐동 진주점으로 편하게 찾아오시는 방법 설명 드리겠습니다. 1. 진주고속터미널에서 오시는 경우 터미널을 바라보시고 좌측을 보면 스타벅스가 있습니다. 스타벅스 가기전 골목으로 들어간 후 조금만 걸어주시면 좌측에 CU가 보입니다. 그때 좌...내용 더보기,0507-1357-0415,https://www.instagram.com/justtendong_jinju/,"무선 인터넷, 예약, 포장, 단체 이용 가능, 대기공간, 유아의자, 배달, 주차",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDAxMjJfMTEy%2FMDAxNzA1OTA5MzI0MDA3.as4PcSGBqwKse14p1K8W4adCgiFWyS5TT8NWtvxg13og.jkv8JzR3OJNvSVFu8PR1i8jthh1wc66zOkcROfUiP1Eg.JPEG.yongkwang07%2F20240122%25A3%25DF150326.jpg,"월(3/3)대체공휴일(삼일절)11:30 - 20:30
15:00 - 17:00 브레이크타임",화정기휴무 (매주 화요일),"수11:30 - 20:30
15:00 - 17:00 브레이크타임
14:30, 20:00 라스트오더","목11:30 - 20:30
15:00 - 17:00 브레이크타임
14:30, 20:00 라스트오더","금11:30 - 20:30
15:00 - 17:00 브레이크타임
14:30, 20:00 라스트오더","토11:30 - 20:30
15:00 - 17:00 브레이크타임
14:30, 20:00 라스트오더","일11:30 - 20:30
15:00 - 17:00 브레이크타임
14:30, 20:00 라스트오더",35.1784661,128.0942175
오야 진주칠암본점,이자카야,경남 진주시 동진로38번길 3-2 102호 오야,찾아가는길진주고속버스터미널 도보 3분 소요 경상국립대학교병원 도보 6분 소요 진주시외버스터미널 자차 5분 소요 진주경찰서 자차 6분 소요 진주종합경기장 자차 8분 소요 [자차 이용시] 네비게이션에 '경남 진주시 동진로38번길 3-2'를 검색하시면 102호에 오야 진주칠암본점이 있습니다.내용 더보기,0507-1404-8399,https://www.instagram.com/oya_jinju,"단체 이용 가능, 남/녀 화장실 구분, 예약, 무선 인터넷, 간편결제",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA4MjhfMTA5%2FMDAxNzI0ODQ3NjY4NTgx.0xPJ6S1QyTrmm_q-6yAlO3FeSB9sBKcaQNSQHEyj8ocg.l3Tg6lXDctR1LTOGivDg5gOsBXkINq0k3vXR6KgMR7Ag.JPEG%2FIMG_20240827_193936.jpg,"월18:00 - 02:00
01:00 라스트오더","화18:00 - 02:00
01:00 라스트오더","수18:00 - 02:00
01:00 라스트오더","목18:00 - 02:00
01:00 라스트오더","금18:00 - 02:00
01:00 라스트오더","토18:00 - 02:00
01:00 라스트오더","일18:00 - 02:00
01:00 라스트오더",35.1786541,128.0956602
쿄오모덮밥,일식당,경남 진주시 진주대로920번길 5 1층,"찾아가는길자차방문시 내비에 쿄오모덮밥 혹은 아래주소를 검색해주세요.(갓길주차 및 유료주차) 경남 진주시 진주대로920번길 5, 1층(칠암동) 도보방문시 미르치과 주차장 방면으로 걸어오시면 됩니다. (GS편의점 직전, 온천탕건너편) 055)761-6549 유선문의주시면 자세히 안내드립...내용 더보기",0507-1366-6549,https://www.instagram.com/kyoomo2024,"포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241207_104%2F1733533152942cFcDs_JPEG%2F1000005241.jpg,"월(3/3)대체공휴일(삼일절)11:30 - 20:30
15:00 - 17:30 브레이크타임","화11:30 - 20:30
15:00 - 17:30 브레이크타임
19:50 라스트오더","수11:30 - 20:30
15:00 - 17:30 브레이크타임
19:50 라스트오더","목11:30 - 20:30
15:00 - 17:30 브레이크타임
19:50 라스트오더","금11:30 - 20:30
15:00 - 17:30 브레이크타임
19:50 라스트오더","토11:30 - 15:00
14:20 라스트오더","일11:30 - 20:30
15:00 - 17:30 브레이크타임
19:50 라스트오더",35.1826087,128.0898988
흐루 칠암 본점,이자카야,경남 진주시 동진로34번길 4 1층,찾아가는길-진주 경상국립대 정문 도보 5분 거리 -진주 경상국립대 술집 메인거리 기왓집 -진주 시외버스터미널 도보 5~10분 -주차장이 협소하며 단속 카메라가 있어 차를 가져오시는건 추천드리지 않습니다. -주차장은 경상대병원 후문쪽에 위치해 있으며 도보 5~10분 거리입니다내용 더보기,0507-1461-1041,https://blog.naver.com/tico456,"무선 인터넷, 남/녀 화장실 구분, 포장, 배달, 단체 이용 가능",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMDlfMTcy%2FMDAxNzI4NDcxMTY2OTY2._uPv47-kJPGFAL3orIcUyFNKu3Zrcbk3jEnP8AiuWnIg.KsFBJu_WSU9dvvz5erF_Q2w34OrA7CZMZE4LUtMQWjAg.JPEG%2FIMG_6772.jpg,"월18:00 - 01:00
00:00 라스트오더","화18:00 - 01:00
00:00 라스트오더","수18:00 - 01:00
00:00 라스트오더","목18:00 - 01:00
00:00 라스트오더","금18:00 - 02:00
01:00 라스트오더","토18:00 - 02:00
01:00 라스트오더",일정기휴무 (매주 일요일),35.1786527,128.0947639
잔향 진주칠암점,요리주점,경남 진주시 동진로34번길 9 2층,"찾아가는길주소: 진주시 동진로 34번길 9 2층 - 도보로 이용하시는 경우 : (구) 과기대 정문 맞은편 골목으로 쭉 들어오시면 놀부부대찌개 2층, 오꾸닭 맞은편 2층에 위치해 있습니다. - 버스를 이용하시는 경우 : 고속버스 터미널에서 하차 후 과기대 정문쪽으로 걸어오셔서 GS25 편의점 ...내용 더보기",0507-1312-5621,,주차,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDExMjVfMTE2%2FMDAxNzMyNTQ1MTI3ODg3.J-0XsEDistVVQ4afp4Di3e1qf1ciYUV-GZSxH9C0_Isg.AIW3emMCcV51BvXbeQc-zl94vRV8QF472yJ_vs4RTxsg.JPEG%2FIMG_2894.jpg,"월18:00 - 02:00
01:00 라스트오더","화18:00 - 02:00
01:00 라스트오더","수18:00 - 02:00
01:00 라스트오더","목18:00 - 02:00
01:00 라스트오더","금18:00 - 02:00
01:00 라스트오더","토18:00 - 02:00
01:00 라스트오더","일18:00 - 02:00
01:00 라스트오더",35.1783438,128.0952462
오데가든 진주칠암본점,돈가스,경남 진주시 동진로 36 ODE.GARDEN,"찾아가는길경상국립대 칠암캠퍼스 맞은편에 위치하고 있습니다.(배스킨라빈스 옆) [주차] 주차장이 따로 없으나 경상대학병원 뒤에 갓길 주차 가능하시구요, 유로주차장으로는 경상국립대학교 칠암캠퍼스(20분무료) 가 있습니다. 두곳 다 도보로 5분이내 이니 칠암동 492-1번지 검색하...내용 더보기",0507-1369-3569,https://www.instagram.com/ode.garden_?igsh=NHgwbmo2bTBpa2lk,"남/녀 화장실 구분, 대기공간, 예약, 단체 이용 가능, 주차",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDExMzBfNzkg%2FMDAxNzMyOTQ1NDAxMTc1.3Lu-O5_JI-cOKtR33XYjNTgtuTto34SzymSy23xbTQ0g.YsM3aR6_yDuzm2O4AKKRKWB7NoyuZ4Ag-ZZka5mIQl0g.JPEG%2FIMG_7294.jpg,"매일11:00 - 01:00
15:00 - 17:00 브레이크타임
14:30, 00:30 라스트오더",,,,,,,35.1787516,128.0950777
카메토리,이자카야,경남 진주시 동진로20번길 9-5 1층,찾아가는길고속버스터미널 3분이내 경상대학교 칠암 캠퍼스 5분이내 경상대학병원 5분이내내용 더보기,0507-1377-5361,https://www.instagram.com/kame_tori_,"예약, 무선 인터넷, 남/녀 화장실 구분, 대기공간, 주차",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA1MzBfNTgg%2FMDAxNzE3MDI3NjQwMjU5.RMBYyv197Pr_U8ISv5jcklWFpsK6NQoPpDR8e3iz7DMg._GQ1Sd0pU0HPTG5d9q1lBK0FMtFDott8sMqiCsiH14sg.JPEG%2Foutput_4128473891.jpg,"월18:00 - 01:00
00:00 라스트오더","화18:00 - 01:00
00:00 라스트오더","수18:00 - 01:00
00:00 라스트오더","목18:00 - 01:00
00:00 라스트오더","금18:00 - 01:00
00:00 라스트오더","토18:00 - 01:00
00:00 라스트오더",일정기휴무 (매주 일요일),35.1784297,128.0940002
매료식당,퓨전음식,경남 진주시 동진로20번길 9-4 1층,찾아가는길아주스타타워 지하주차장입구 맞은편 위치.,0507-1432-5445,,"무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200904_5%2F1599217837552km0uV_JPEG%2F9gw6ZPSGkAyXxInw9c0zsdt_.jpeg.jpg,월(3/3)17:30 - 21:00,"화11:30 - 21:00
15:00 - 17:30 브레이크타임","수11:30 - 21:00
15:00 - 17:30 브레이크타임","목11:30 - 21:00
15:00 - 17:30 브레이크타임","금11:30 - 21:00
15:00 - 17:30 브레이크타임","토11:30 - 21:00
15:00 - 17:30 브레이크타임","일11:30 - 21:00
15:00 - 17:30 브레이크타임",35.1781431,128.0938869
칠암곰탕,한식,경남 진주시 강남로201번길 5,,055-758-7558,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMTBfMjk4%2FMDAxNzM2NDcxODQ4NzM0.gCCjW1_8kzLUUbPsan0KCKfTqfSt8kJ2E1utxF2XPEQg.QQIDpzr096ahGNS3EcbNOkoT8e1N0STlkV_JzC7kegEg.JPEG%2F900%25A3%25DF20241226%25A3%25DF133457.jpg,"월11:30 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","화11:30 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","수11:30 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","목11:30 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","금11:30 - 20:00
15:00 - 17:00 브레이크타임
19:30 라스트오더","토11:30 - 15:00
14:30 라스트오더",일정기휴무 (매주 일요일),35.1856528,128.0932586
소우주,요리주점,경남 진주시 강남로247번길 6-3,찾아가는길어.. 여기가 찾기가 조금 힘든데.. 뭉클 게스트하우스 근처에요!,0507-1419-7854,,예약,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDAzMjZfMTgg%2FMDAxNzExNDIxNDU5NjQw.WaI2-E_qFhPh9S635oyrvF2j4iOuxljFNKLZYd8lzS0g.79FjrZOQRe50anS4Xh44cvPXgmC0pZRD7f4WIjtqbKcg.JPEG%2FIMG_5064.jpg,"월18:00 - 23:30
22:30 라스트오더","화18:00 - 23:30
22:30 라스트오더","수18:00 - 23:30
22:30 라스트오더","목18:00 - 23:30
22:30 라스트오더","금18:00 - 23:30
22:30 라스트오더","토18:00 - 23:30
22:30 라스트오더","일18:00 - 23:30
22:30 라스트오더",35.1877945,128.0900313
푸푸,중식당,경남 진주시 강남로189번길 7,찾아가는길경남문화예술회관 먹자길 뒷 골목 한전사원아파트 맞은편 입니다:-),0507-1362-2028,,"단체 이용 가능, 포장, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230316_79%2F1678932694715zoJ6N_JPEG%2FF9F54638-D8F4-46B3-AA7D-BA97F9971624.jpeg,월(3/3)대체공휴일(삼일절)11:00 - 21:00,"화11:00 - 21:00
19:00 라스트오더","수11:00 - 21:00
19:00 라스트오더","목11:00 - 21:00
19:00 라스트오더","금11:00 - 21:00
19:00 라스트오더","토11:00 - 21:00
19:00 라스트오더",일정기휴무 (매주 일요일),35.184622,128.0937306
비금,중식당,경남 진주시 진주대로920번길 5,,055-758-7937,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200306_290%2F15834789874941tdlQ_JPEG%2ForiMdA1Z-f_xmt4DNZjABwUN.jpg,월정기휴무 (매주 월요일),화11:00 - 14:30,수11:00 - 14:30,목11:00 - 14:30,금11:00 - 14:30,토11:00 - 14:30,일정기휴무 (매주 일요일),35.1826087,128.0898988
백조품은오리,오리요리,경남 진주시 진주대로920번길 10 1층,"찾아가는길진주 칠암동 세무서 뒤,칠암동미르치과 뒤, 칠암동 온천탕바로 뒤 위치 함.",055-757-7036,,"주차, 배달, 남/녀 화장실 구분, 단체 이용 가능, 포장, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241126_9%2F1732612539496hbqBX_JPEG%2F1000033878.jpg,월(3/3)대체공휴일(삼일절) 휴무,"화11:30 - 22:00
21:00 라스트오더","수11:30 - 22:00
21:00 라스트오더","목11:30 - 22:00
21:00 라스트오더","금11:30 - 22:00
21:00 라스트오더","토11:30 - 22:00
21:00 라스트오더","일11:30 - 21:00
20:00 라스트오더",35.1823719,128.0902318
상하이객잔,중식당,경남 진주시 동진로 28,,055-755-8784,https://shanghai7.modoo.at,"예약, 단체 이용 가능, 주차, 배달, 포장, 남/녀 화장실 구분, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190118_213%2F1547809934837kO0nA_JPEG%2FpPtkkUTZV8Tgq6Uepp_hTchh.jpeg.jpg,"매일11:00 - 21:00
20:00 라스트오더",,,,,,,35.1786707,128.094155
